Attrition,Business Travel,CF_age band,CF_attrition label,Department,Education Field,emp no,Employee Number,Gender,Job Role,Marital Status,Over Time,Over18,Training Times Last Year,-2,0,Age,CF_current Employee,Daily Rate,Distance From Home,Education,Employee Count,Environment Satisfaction,Hourly Rate,Job Involvement,Job Level,Job Satisfaction,Monthly Income,Monthly Rate,Num Companies Worked,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Standard Hours,Stock Option Level,Total Working Years,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
No,Travel_Frequently,25 - 34,Current Employees,R&D,Other,STAFF-2251,2251.0,Male,Research Director,Married,Yes,Y,0.0,-2.0,0.0,34.0,1.0,118.0,17.0,Bachelor's Degree,1.0,4.0,41.0,2.0,3.0,1.0,9520.0,22793.0,3.0,12.0,4.0,1.0,80.0,3.0,8.0,3.0,38.0,16.0,7.0,7.0
No,Travel_Rarely,Under 25,Current Employees,Sales,Technical Degree,STAFF-2252,2252.0,Male,Sales Representative,Divorced,Yes,Y,4.0,-2.0,0.0,18.0,1.0,778.0,8.0,Doctoral Degree,1.0,1.0,58.0,1.0,3.0,3.0,2210.0,12105.0,9.0,15.0,3.0,4.0,80.0,3.0,24.0,1.0,16.0,16.0,0.0,0.0
No,Non-Travel,25 - 34,Current Employees,HR,Marketing,STAFF-2253,2253.0,Female,Manager,Single,No,Y,6.0,-2.0,0.0,31.0,1.0,937.0,10.0,Master's Degree,1.0,1.0,38.0,3.0,1.0,2.0,17349.0,9120.0,5.0,25.0,3.0,3.0,80.0,3.0,40.0,3.0,36.0,1.0,5.0,15.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,STAFF-2254,2254.0,Female,Sales Representative,Divorced,Yes,Y,6.0,-2.0,0.0,25.0,1.0,154.0,11.0,Associates Degree,1.0,4.0,65.0,4.0,3.0,4.0,1406.0,23779.0,2.0,21.0,3.0,1.0,80.0,1.0,12.0,4.0,33.0,9.0,6.0,8.0
No,Travel_Frequently,Under 25,Current Employees,Sales,Life Sciences,STAFF-2255,2255.0,Male,Research Scientist,Married,Yes,Y,2.0,-2.0,0.0,19.0,1.0,819.0,22.0,Master's Degree,1.0,4.0,72.0,1.0,2.0,2.0,9784.0,23419.0,1.0,23.0,4.0,4.0,80.0,2.0,12.0,2.0,31.0,18.0,7.0,14.0
No,Non-Travel,35 - 44,Current Employees,R&D,Life Sciences,STAFF-2256,2256.0,Female,Research Scientist,Single,Yes,Y,6.0,-2.0,0.0,38.0,1.0,158.0,6.0,Bachelor's Degree,1.0,4.0,76.0,1.0,4.0,2.0,9522.0,12642.0,1.0,22.0,4.0,2.0,80.0,2.0,5.0,2.0,8.0,12.0,13.0,4.0
No,Non-Travel,45 - 54,Current Employees,R&D,Technical Degree,STAFF-2257,2257.0,Female,Laboratory Technician,Married,Yes,Y,0.0,-2.0,0.0,47.0,1.0,497.0,15.0,Doctoral Degree,1.0,1.0,55.0,1.0,2.0,2.0,2026.0,22979.0,7.0,15.0,3.0,3.0,80.0,2.0,17.0,3.0,34.0,14.0,1.0,14.0
No,Travel_Rarely,25 - 34,Current Employees,Sales,Marketing,STAFF-2258,,Female,Research Scientist,Single,Yes,Y,1.0,-2.0,0.0,27.0,1.0,1114.0,11.0,High School,1.0,2.0,82.0,1.0,1.0,1.0,4465.0,21236.0,7.0,20.0,3.0,1.0,80.0,3.0,37.0,3.0,24.0,18.0,1.0,14.0
No,Travel_Rarely,25 - 34,Current Employees,HR,Other,STAFF-2259,2259.0,Male,Healthcare Representative,Married,Yes,Y,4.0,-2.0,0.0,27.0,1.0,177.0,17.0,Bachelor's Degree,1.0,2.0,82.0,4.0,4.0,1.0,17145.0,23922.0,9.0,25.0,4.0,4.0,80.0,2.0,3.0,2.0,36.0,6.0,5.0,12.0
No,Non-Travel,Under 25,Current Employees,HR,Human Resources,STAFF-2260,2260.0,Female,Sales Executive,Single,Yes,Y,3.0,-2.0,0.0,19.0,1.0,106.0,16.0,High School,1.0,4.0,41.0,4.0,5.0,1.0,1760.0,15331.0,4.0,20.0,3.0,2.0,80.0,0.0,31.0,4.0,34.0,3.0,5.0,15.0
No,Travel_Rarely,35 - 44,Current Employees,Sales,Technical Degree,STAFF-2261,2261.0,Female,Laboratory Technician,Single,Yes,Y,2.0,-2.0,0.0,43.0,1.0,452.0,1.0,Master's Degree,1.0,1.0,31.0,3.0,3.0,1.0,12607.0,10419.0,5.0,13.0,3.0,3.0,80.0,2.0,3.0,2.0,25.0,8.0,8.0,16.0
Yes,Travel_Rarely,25 - 34,Ex-Employees,HR,Marketing,STAFF-2262,2262.0,Male,Human Resources,Single,Yes,Y,5.0,-2.0,0.0,28.0,0.0,1057.0,29.0,Doctoral Degree,1.0,4.0,33.0,1.0,5.0,3.0,2264.0,8556.0,0.0,21.0,3.0,1.0,80.0,2.0,37.0,1.0,4.0,18.0,9.0,0.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,STAFF-2263,2263.0,Male,Laboratory Technician,Married,No,Y,2.0,-2.0,0.0,32.0,1.0,629.0,16.0,Bachelor's Degree,1.0,2.0,49.0,3.0,3.0,1.0,13144.0,23223.0,1.0,23.0,3.0,3.0,80.0,0.0,29.0,4.0,31.0,7.0,10.0,9.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2264,2264.0,Female,Manager,Married,Yes,Y,5.0,-2.0,0.0,31.0,1.0,529.0,17.0,Doctoral Degree,1.0,1.0,40.0,4.0,5.0,4.0,10867.0,15724.0,8.0,16.0,4.0,2.0,80.0,1.0,1.0,2.0,11.0,7.0,1.0,8.0
Yes,Travel_Frequently,Under 25,Ex-Employees,Sales,Human Resources,STAFF-2265,2265.0,Male,Manufacturing Director,Divorced,Yes,Y,1.0,-2.0,0.0,23.0,1.0,999.0,15.0,Master's Degree,1.0,3.0,78.0,4.0,3.0,4.0,12110.0,11740.0,7.0,13.0,4.0,1.0,80.0,0.0,22.0,4.0,40.0,5.0,2.0,12.0
Yes,Travel_Frequently,35 - 44,Ex-Employees,Sales,Human Resources,STAFF-2266,2266.0,Male,Research Scientist,Divorced,Yes,Y,3.0,-2.0,0.0,35.0,1.0,723.0,25.0,High School,1.0,3.0,37.0,4.0,3.0,4.0,6436.0,6697.0,6.0,15.0,4.0,3.0,80.0,3.0,18.0,3.0,29.0,12.0,4.0,11.0
No,Travel_Rarely,25 - 34,Current Employees,HR,Marketing,STAFF-2267,2267.0,Female,Healthcare Representative,Single,No,Y,1.0,-2.0,0.0,28.0,1.0,1276.0,20.0,Bachelor's Degree,1.0,4.0,40.0,2.0,5.0,1.0,19353.0,22750.0,7.0,16.0,3.0,1.0,80.0,1.0,22.0,4.0,21.0,15.0,8.0,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Travel_Rarely,Over 55,Current Employees,Sales,Technical Degree,STAFF-2268,2268.0,Female,Manufacturing Director,Single,No,Y,4.0,-2.0,0.0,57.0,1.0,282.0,19.0,High School,1.0,1.0,83.0,4.0,3.0,3.0,3005.0,6919.0,2.0,24.0,4.0,4.0,80.0,0.0,14.0,3.0,7.0,10.0,12.0,4.0
No,Non-Travel,Under 25,Current Employees,HR,Technical Degree,STAFF-2269,2269.0,Male,Research Scientist,Single,Yes,Y,5.0,-2.0,0.0,24.0,1.0,864.0,15.0,Associates Degree,1.0,1.0,96.0,1.0,3.0,2.0,8250.0,19554.0,8.0,17.0,3.0,4.0,80.0,1.0,36.0,1.0,32.0,16.0,15.0,9.0
No,Non-Travel,35 - 44,Current Employees,R&D,Other,STAFF-2270,2270.0,Female,Sales Executive,Divorced,Yes,Y,2.0,-2.0,0.0,35.0,1.0,856.0,19.0,Associates Degree,1.0,2.0,46.0,2.0,5.0,2.0,5415.0,21087.0,7.0,19.0,4.0,4.0,80.0,3.0,13.0,3.0,35.0,16.0,12.0,4.0
No,Non-Travel,Under 25,Current Employees,HR,Marketing,STAFF-2271,2271.0,Female,Laboratory Technician,Single,Yes,Y,4.0,-2.0,0.0,22.0,1.0,1076.0,26.0,Bachelor's Degree,1.0,1.0,62.0,2.0,2.0,2.0,1942.0,3144.0,0.0,12.0,3.0,4.0,80.0,0.0,33.0,4.0,34.0,18.0,14.0,7.0
No,Travel_Frequently,Under 25,Current Employees,R&D,Marketing,STAFF-2272,2272.0,Male,Manufacturing Director,Divorced,No,Y,5.0,-2.0,0.0,19.0,1.0,285.0,26.0,Doctoral Degree,1.0,1.0,50.0,1.0,5.0,2.0,17461.0,12152.0,4.0,23.0,3.0,4.0,80.0,1.0,13.0,1.0,9.0,9.0,9.0,10.0
No,Travel_Rarely,25 - 34,Current Employees,HR,Life Sciences,STAFF-2273,2273.0,Male,Laboratory Technician,Single,Yes,Y,5.0,-2.0,0.0,28.0,1.0,1398.0,17.0,Bachelor's Degree,1.0,3.0,44.0,1.0,1.0,2.0,13116.0,5020.0,7.0,17.0,4.0,3.0,80.0,2.0,29.0,2.0,40.0,2.0,9.0,11.0
No,Travel_Rarely,Over 55,Current Employees,HR,Medical,STAFF-2274,2274.0,Male,Manufacturing Director,Divorced,Yes,Y,1.0,-2.0,0.0,59.0,0.0,1437.0,10.0,Bachelor's Degree,1.0,3.0,63.0,4.0,3.0,3.0,2683.0,24506.0,1.0,12.0,3.0,4.0,80.0,0.0,37.0,3.0,34.0,0.0,2.0,3.0
Yes,Travel_Rarely,Under 25,Ex-Employees,R&D,Technical Degree,STAFF-2275,2275.0,Male,Manager,Divorced,Yes,Y,5.0,-2.0,0.0,24.0,1.0,1497.0,9.0,Bachelor's Degree,1.0,1.0,66.0,2.0,3.0,4.0,11222.0,11438.0,2.0,21.0,4.0,3.0,80.0,2.0,8.0,1.0,35.0,1.0,1.0,16.0
No,Non-Travel,Under 25,Current Employees,Sales,Medical,STAFF-2276,2276.0,Female,Research Director,Married,Yes,Y,1.0,-2.0,0.0,23.0,1.0,322.0,19.0,Bachelor's Degree,1.0,4.0,40.0,3.0,1.0,4.0,16605.0,23338.0,5.0,17.0,4.0,2.0,80.0,1.0,28.0,2.0,2.0,5.0,15.0,5.0
Yes,Non-Travel,25 - 34,Ex-Employees,Sales,Life Sciences,STAFF-2277,2277.0,Male,Human Resources,Divorced,Yes,Y,0.0,-2.0,0.0,29.0,1.0,922.0,4.0,Doctoral Degree,1.0,3.0,54.0,1.0,5.0,3.0,12635.0,20323.0,5.0,13.0,3.0,3.0,80.0,1.0,18.0,1.0,25.0,8.0,4.0,16.0
No,Non-Travel,Under 25,Current Employees,R&D,Medical,STAFF-2278,2278.0,Female,Manufacturing Director,Divorced,Yes,Y,5.0,-2.0,0.0,19.0,1.0,552.0,10.0,Bachelor's Degree,1.0,1.0,51.0,2.0,5.0,4.0,4097.0,8375.0,2.0,22.0,4.0,3.0,80.0,3.0,9.0,2.0,9.0,6.0,13.0,3.0
No,Non-Travel,Under 25,Current Employees,Sales,Other,STAFF-2279,2279.0,Male,Research Scientist,Married,Yes,Y,0.0,-2.0,0.0,23.0,1.0,550.0,14.0,High School,1.0,3.0,33.0,4.0,3.0,1.0,8084.0,24472.0,1.0,20.0,3.0,1.0,80.0,1.0,15.0,4.0,31.0,17.0,10.0,2.0
No,Non-Travel,Under 25,Current Employees,HR,Medical,STAFF-2280,2280.0,Female,Sales Executive,Divorced,Yes,Y,1.0,-2.0,0.0,19.0,1.0,1000.0,7.0,Associates Degree,1.0,4.0,98.0,1.0,5.0,2.0,6808.0,5023.0,6.0,21.0,4.0,2.0,80.0,2.0,10.0,4.0,12.0,7.0,0.0,13.0
No,Non-Travel,Under 25,Current Employees,Sales,Other,STAFF-2281,2281.0,Female,Human Resources,Single,No,Y,2.0,-2.0,0.0,19.0,0.0,946.0,23.0,Associates Degree,1.0,2.0,85.0,4.0,5.0,2.0,12120.0,17664.0,2.0,21.0,4.0,2.0,80.0,3.0,40.0,2.0,29.0,7.0,1.0,7.0
No,Non-Travel,Under 25,Current Employees,Sales,Marketing,STAFF-2282,2282.0,Male,Laboratory Technician,Single,Yes,Y,4.0,-2.0,0.0,19.0,0.0,1230.0,17.0,Doctoral Degree,1.0,4.0,37.0,2.0,3.0,2.0,10588.0,4891.0,3.0,,3.0,1.0,80.0,0.0,1.0,4.0,4.0,0.0,11.0,9.0
No,Non-Travel,25 - 34,Current Employees,R&D,Technical Degree,STAFF-2283,2283.0,Female,Laboratory Technician,Single,Yes,Y,6.0,-2.0,0.0,28.0,1.0,220.0,14.0,Doctoral Degree,1.0,4.0,78.0,3.0,4.0,1.0,4100.0,6812.0,1.0,11.0,3.0,2.0,80.0,0.0,11.0,1.0,29.0,14.0,6.0,3.0
Yes,Travel_Rarely,25 - 34,Ex-Employees,R&D,Other,STAFF-2284,2284.0,Female,Research Scientist,Single,Yes,Y,2.0,-2.0,0.0,33.0,1.0,358.0,5.0,Bachelor's Degree,1.0,3.0,98.0,1.0,2.0,3.0,12801.0,14506.0,2.0,12.0,4.0,3.0,80.0,2.0,30.0,1.0,30.0,4.0,3.0,15.0
No,Travel_Frequently,Under 25,Current Employees,R&D,Human Resources,STAFF-2285,2285.0,Male,Sales Executive,Divorced,Yes,Y,6.0,-2.0,0.0,19.0,1.0,1163.0,11.0,Associates Degree,1.0,4.0,49.0,3.0,4.0,3.0,3543.0,2182.0,5.0,12.0,4.0,3.0,80.0,3.0,8.0,3.0,19.0,2.0,10.0,4.0
No,Non-Travel,Under 25,Current Employees,HR,Marketing,STAFF-2286,2286.0,Female,Human Resources,Married,No,Y,1.0,-2.0,0.0,21.0,1.0,1213.0,9.0,Master's Degree,1.0,4.0,55.0,3.0,1.0,1.0,6569.0,17483.0,6.0,20.0,4.0,4.0,80.0,0.0,30.0,3.0,21.0,10.0,10.0,5.0
No,Travel_Frequently,35 - 44,Current Employees,HR,Medical,STAFF-2287,2287.0,Female,Healthcare Representative,Single,No,Y,2.0,-2.0,0.0,39.0,1.0,1247.0,3.0,Associates Degree,1.0,3.0,96.0,2.0,1.0,4.0,11177.0,9589.0,5.0,25.0,4.0,1.0,80.0,0.0,7.0,1.0,31.0,17.0,12.0,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Non-Travel,Under 25,Current Employees,HR,Technical Degree,STAFF-2288,2288.0,Male,Healthcare Representative,Married,Yes,Y,5.0,-2.0,0.0,23.0,1.0,1089.0,6.0,Bachelor's Degree,1.0,3.0,46.0,1.0,2.0,1.0,12441.0,21045.0,2.0,24.0,4.0,4.0,80.0,0.0,24.0,4.0,29.0,4.0,2.0,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Travel_Rarely,25 - 34,Ex-Employees,Sales,Medical,STAFF-2289,2289.0,Female,Laboratory Technician,Divorced,Yes,Y,6.0,-2.0,0.0,31.0,1.0,714.0,1.0,Master's Degree,1.0,1.0,64.0,3.0,1.0,3.0,6246.0,26139.0,6.0,22.0,3.0,1.0,80.0,2.0,34.0,4.0,8.0,1.0,13.0,4.0
No,Travel_Frequently,35 - 44,Current Employees,HR,Life Sciences,STAFF-2290,2290.0,Female,Manager,Divorced,Yes,Y,3.0,-2.0,0.0,38.0,1.0,1166.0,13.0,Bachelor's Degree,1.0,1.0,44.0,1.0,5.0,3.0,19473.0,8013.0,4.0,16.0,4.0,4.0,80.0,0.0,17.0,3.0,28.0,1.0,12.0,15.0
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-2291,2291.0,Female,Sales Executive,Single,Yes,Y,4.0,-2.0,0.0,37.0,1.0,1406.0,1.0,Bachelor's Degree,1.0,3.0,78.0,4.0,5.0,3.0,18314.0,9208.0,4.0,13.0,4.0,2.0,80.0,0.0,14.0,2.0,27.0,5.0,11.0,15.0
No,Non-Travel,25 - 34,Current Employees,R&D,Human Resources,STAFF-2292,2292.0,Male,Healthcare Representative,Married,Yes,Y,4.0,-2.0,0.0,27.0,1.0,1034.0,28.0,Doctoral Degree,1.0,2.0,47.0,1.0,4.0,4.0,7060.0,3570.0,7.0,15.0,3.0,2.0,80.0,2.0,18.0,3.0,31.0,9.0,5.0,8.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Other,STAFF-2293,2293.0,Female,Manager,Married,Yes,Y,6.0,-2.0,0.0,33.0,1.0,1058.0,25.0,Associates Degree,1.0,3.0,74.0,3.0,1.0,3.0,2549.0,10808.0,6.0,13.0,3.0,4.0,80.0,1.0,10.0,2.0,37.0,4.0,3.0,12.0
No,Non-Travel,25 - 34,Current Employees,HR,Life Sciences,STAFF-2294,2294.0,Female,Manufacturing Director,Single,Yes,Y,0.0,-2.0,0.0,31.0,1.0,1172.0,3.0,Bachelor's Degree,1.0,4.0,75.0,1.0,2.0,3.0,12399.0,23018.0,8.0,23.0,3.0,4.0,80.0,0.0,24.0,2.0,17.0,12.0,6.0,2.0
No,Travel_Frequently,45 - 54,Current Employees,HR,Technical Degree,STAFF-2295,2295.0,Male,Healthcare Representative,Married,No,Y,1.0,-2.0,0.0,45.0,1.0,527.0,27.0,Master's Degree,1.0,1.0,37.0,4.0,5.0,1.0,6327.0,7953.0,1.0,18.0,3.0,2.0,80.0,3.0,11.0,3.0,25.0,5.0,7.0,12.0
No,Non-Travel,25 - 34,Current Employees,R&D,Human Resources,STAFF-2296,2296.0,Male,Manager,Single,Yes,Y,2.0,-2.0,0.0,30.0,1.0,131.0,13.0,Doctoral Degree,1.0,1.0,88.0,4.0,2.0,3.0,7555.0,13800.0,4.0,22.0,3.0,2.0,80.0,1.0,18.0,4.0,28.0,16.0,2.0,12.0
No,Travel_Frequently,Under 25,Current Employees,HR,Medical,STAFF-2297,2297.0,Male,Sales Representative,Divorced,Yes,Y,4.0,-2.0,0.0,21.0,1.0,403.0,20.0,Bachelor's Degree,1.0,1.0,34.0,3.0,2.0,3.0,15163.0,18430.0,7.0,19.0,4.0,4.0,80.0,3.0,1.0,4.0,15.0,8.0,9.0,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Travel_Frequently,25 - 34,Ex-Employees,Sales,Human Resources,STAFF-2298,2298.0,Male,Sales Representative,Divorced,Yes,Y,6.0,-2.0,0.0,27.0,1.0,1244.0,19.0,Bachelor's Degree,1.0,1.0,31.0,4.0,1.0,3.0,5359.0,3381.0,6.0,15.0,3.0,3.0,80.0,2.0,37.0,2.0,10.0,3.0,2.0,3.0
No,Travel_Frequently,25 - 34,Current Employees,HR,Other,STAFF-2299,2299.0,Female,Manager,Single,Yes,Y,2.0,-2.0,0.0,25.0,1.0,648.0,16.0,Associates Degree,1.0,3.0,89.0,3.0,3.0,3.0,4424.0,14689.0,6.0,13.0,4.0,3.0,80.0,0.0,0.0,4.0,5.0,6.0,1.0,17.0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Other,STAFF-2300,2300.0,Female,Research Scientist,Married,No,Y,4.0,-2.0,0.0,31.0,0.0,654.0,11.0,Master's Degree,1.0,3.0,30.0,4.0,1.0,3.0,6606.0,9144.0,6.0,11.0,4.0,4.0,80.0,0.0,7.0,3.0,29.0,7.0,15.0,11.0
No,Travel_Rarely,35 - 44,Current Employees,HR,Marketing,STAFF-2301,2301.0,Male,Sales Representative,Married,Yes,Y,1.0,-2.0,0.0,40.0,1.0,1458.0,7.0,Bachelor's Degree,1.0,4.0,90.0,4.0,4.0,1.0,1589.0,20639.0,7.0,22.0,4.0,1.0,80.0,0.0,2.0,4.0,9.0,16.0,9.0,2.0
No,Travel_Rarely,Under 25,Current Employees,Sales,Medical,STAFF-2302,2302.0,Female,Manufacturing Director,Married,No,Y,5.0,-2.0,0.0,18.0,1.0,444.0,19.0,Associates Degree,1.0,4.0,69.0,3.0,4.0,3.0,11582.0,23056.0,7.0,24.0,4.0,3.0,80.0,0.0,39.0,2.0,10.0,14.0,11.0,8.0
No,Travel_Frequently,25 - 34,Current Employees,R&D,Life Sciences,STAFF-2303,2303.0,Male,Laboratory Technician,Married,No,Y,0.0,-2.0,0.0,29.0,1.0,580.0,15.0,High School,1.0,2.0,82.0,3.0,2.0,2.0,17451.0,20364.0,9.0,24.0,3.0,1.0,80.0,0.0,15.0,3.0,21.0,6.0,1.0,4.0
No,Travel_Frequently,Under 25,Current Employees,R&D,Human Resources,STAFF-2304,2304.0,Female,Manager,Single,Yes,Y,6.0,-2.0,0.0,21.0,1.0,289.0,21.0,Master's Degree,1.0,2.0,96.0,4.0,1.0,1.0,4555.0,23319.0,7.0,12.0,4.0,1.0,80.0,1.0,3.0,1.0,22.0,12.0,5.0,0.0
No,Travel_Frequently,35 - 44,Current Employees,Sales,Other,STAFF-2305,2305.0,Female,Manager,Married,Yes,Y,4.0,-2.0,0.0,38.0,1.0,633.0,16.0,Bachelor's Degree,1.0,4.0,79.0,2.0,2.0,3.0,4154.0,3386.0,8.0,21.0,4.0,2.0,80.0,3.0,23.0,3.0,25.0,3.0,4.0,12.0
No,Travel_Rarely,Under 25,Current Employees,HR,Human Resources,STAFF-2306,2306.0,Female,Research Scientist,Single,Yes,Y,6.0,-2.0,0.0,22.0,1.0,458.0,29.0,Bachelor's Degree,1.0,2.0,43.0,3.0,5.0,3.0,4873.0,23414.0,9.0,17.0,3.0,2.0,80.0,3.0,1.0,4.0,9.0,11.0,1.0,12.0
No,Travel_Frequently,25 - 34,Current Employees,Sales,Medical,STAFF-2307,2307.0,Female,Research Director,Single,Yes,Y,0.0,-2.0,0.0,32.0,1.0,1045.0,4.0,High School,1.0,3.0,61.0,1.0,3.0,4.0,9012.0,25446.0,1.0,22.0,4.0,1.0,80.0,2.0,3.0,2.0,5.0,16.0,13.0,7.0
No,Non-Travel,Under 25,Current Employees,R&D,Medical,STAFF-2308,2308.0,Male,Human Resources,Single,Yes,Y,3.0,-2.0,0.0,23.0,1.0,280.0,1.0,Doctoral Degree,1.0,1.0,97.0,2.0,2.0,4.0,17907.0,14745.0,9.0,19.0,4.0,3.0,80.0,3.0,5.0,1.0,25.0,1.0,1.0,17.0
No,Travel_Frequently,Under 25,Current Employees,Sales,Medical,STAFF-2309,2309.0,Male,Sales Executive,Single,Yes,Y,1.0,-2.0,0.0,22.0,1.0,917.0,12.0,Doctoral Degree,1.0,3.0,58.0,3.0,5.0,4.0,18629.0,13032.0,0.0,15.0,3.0,1.0,80.0,2.0,7.0,3.0,10.0,7.0,8.0,16.0
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-2310,2310.0,Female,Research Director,Married,Yes,Y,3.0,-2.0,0.0,42.0,1.0,757.0,5.0,High School,1.0,4.0,81.0,1.0,4.0,1.0,15539.0,11404.0,9.0,17.0,4.0,1.0,80.0,3.0,11.0,2.0,29.0,8.0,10.0,16.0
No,Travel_Rarely,25 - 34,Current Employees,Sales,Technical Degree,STAFF-2311,2311.0,Male,Laboratory Technician,Married,Yes,Y,4.0,-2.0,0.0,30.0,1.0,489.0,29.0,Doctoral Degree,1.0,3.0,88.0,1.0,1.0,1.0,19170.0,9497.0,8.0,22.0,3.0,2.0,80.0,1.0,23.0,1.0,2.0,15.0,13.0,6.0
No,Travel_Frequently,25 - 34,Current Employees,HR,Medical,STAFF-2312,2312.0,Male,Manager,Divorced,Yes,Y,2.0,-2.0,0.0,33.0,1.0,1212.0,29.0,Bachelor's Degree,1.0,3.0,51.0,3.0,1.0,3.0,6200.0,18851.0,3.0,15.0,3.0,2.0,80.0,1.0,28.0,3.0,5.0,4.0,9.0,10.0
Yes,Non-Travel,25 - 34,Ex-Employees,Sales,Medical,STAFF-2313,2313.0,Male,Manager,Divorced,Yes,Y,1.0,-2.0,0.0,26.0,1.0,1019.0,14.0,Master's Degree,1.0,3.0,41.0,3.0,3.0,2.0,17321.0,13037.0,8.0,16.0,4.0,4.0,80.0,1.0,36.0,3.0,10.0,18.0,15.0,17.0
No,Non-Travel,35 - 44,Current Employees,R&D,Medical,STAFF-2314,2314.0,Male,Healthcare Representative,Single,Yes,Y,0.0,-2.0,0.0,37.0,1.0,1135.0,25.0,Doctoral Degree,1.0,1.0,70.0,2.0,5.0,1.0,12317.0,19528.0,0.0,11.0,4.0,4.0,80.0,2.0,31.0,3.0,24.0,17.0,13.0,10.0
No,Travel_Rarely,35 - 44,Current Employees,HR,Other,STAFF-2315,2315.0,Female,Laboratory Technician,Single,Yes,Y,0.0,-2.0,0.0,37.0,1.0,452.0,25.0,Master's Degree,1.0,1.0,72.0,3.0,4.0,4.0,2337.0,19507.0,8.0,20.0,4.0,4.0,80.0,2.0,17.0,3.0,4.0,17.0,10.0,0.0
No,Travel_Rarely,35 - 44,Current Employees,R&D,Marketing,STAFF-2316,2316.0,Male,Laboratory Technician,Single,Yes,Y,1.0,-2.0,0.0,36.0,1.0,681.0,11.0,High School,1.0,4.0,92.0,4.0,3.0,4.0,15465.0,26250.0,4.0,20.0,3.0,3.0,80.0,2.0,14.0,3.0,34.0,5.0,9.0,17.0
No,Travel_Rarely,25 - 34,Current Employees,R&D,Medical,STAFF-2317,2317.0,Male,Sales Representative,Divorced,No,Y,5.0,-2.0,0.0,25.0,1.0,513.0,22.0,Bachelor's Degree,1.0,3.0,55.0,3.0,2.0,1.0,14255.0,6689.0,3.0,12.0,3.0,1.0,80.0,0.0,5.0,2.0,11.0,14.0,13.0,8.0
No,Travel_Frequently,Under 25,Current Employees,HR,Medical,STAFF-2318,2318.0,Male,Manager,Married,Yes,Y,0.0,-2.0,0.0,21.0,1.0,1053.0,3.0,High School,1.0,4.0,63.0,4.0,3.0,2.0,18037.0,3946.0,2.0,22.0,3.0,4.0,80.0,0.0,33.0,3.0,31.0,11.0,6.0,0.0
No,Travel_Frequently,35 - 44,Current Employees,HR,Human Resources,STAFF-2319,2319.0,Male,Sales Representative,Single,Yes,Y,2.0,-2.0,0.0,38.0,1.0,793.0,7.0,Associates Degree,1.0,2.0,34.0,3.0,3.0,3.0,12867.0,17096.0,8.0,22.0,4.0,4.0,80.0,2.0,13.0,4.0,38.0,1.0,0.0,0.0
No,Travel_Frequently,25 - 34,Current Employees,Sales,Human Resources,STAFF-2320,2320.0,Female,Research Scientist,Married,Yes,Y,4.0,-2.0,0.0,34.0,1.0,754.0,28.0,Doctoral Degree,1.0,1.0,59.0,3.0,5.0,1.0,3344.0,3819.0,9.0,21.0,4.0,1.0,80.0,0.0,32.0,4.0,17.0,5.0,15.0,11.0
No,Travel_Frequently,35 - 44,Current Employees,Sales,Other,STAFF-2321,2321.0,Male,Manufacturing Director,Single,Yes,Y,0.0,-2.0,0.0,38.0,1.0,1219.0,22.0,Doctoral Degree,1.0,1.0,73.0,2.0,1.0,3.0,8948.0,6871.0,0.0,12.0,3.0,4.0,80.0,2.0,25.0,2.0,15.0,13.0,3.0,1.0
No,Non-Travel,25 - 34,Current Employees,Sales,Medical,STAFF-2322,2322.0,Male,Sales Executive,Single,No,Y,3.0,-2.0,0.0,26.0,1.0,1018.0,27.0,Doctoral Degree,1.0,1.0,90.0,4.0,2.0,4.0,2671.0,16828.0,5.0,21.0,3.0,4.0,80.0,1.0,3.0,3.0,18.0,18.0,10.0,7.0
No,Non-Travel,Under 25,Current Employees,,Medical,STAFF-2323,2323.0,Male,Research Director,Married,Yes,Y,6.0,-2.0,0.0,20.0,1.0,1363.0,27.0,High School,1.0,1.0,85.0,3.0,5.0,2.0,14635.0,14419.0,4.0,13.0,3.0,3.0,80.0,3.0,21.0,1.0,0.0,17.0,0.0,8.0
,Non-Travel,Under 25,Current Employees,Sales,Marketing,STAFF-2324,2324.0,Female,Manufacturing Director,Divorced,Yes,Y,1.0,-2.0,0.0,20.0,1.0,680.0,7.0,High School,1.0,3.0,59.0,1.0,3.0,1.0,18379.0,11537.0,1.0,25.0,3.0,2.0,80.0,0.0,5.0,3.0,24.0,9.0,9.0,5.0
